r_t,a_t,s_t,s_t_p_1,id_simulation
-1.7965754053321066,"(3, 3)","(1, 0)","(1, 1)",3
-4.666112127575756,"(1, 1)","(1, 1)","(2, 1)",3
-1.0,"(0, 2)","(2, 1)","(2, 1)",3
-4.0846013662505385,"(1, 4)","(2, 1)","(2, 0)",3
-2.2826254241355337,"(2, 1)","(2, 0)","(3, 0)",3
-3.9730057877816365,"(1, 1)","(3, 0)","(4, 0)",3
-40.0,"(2, 4)","(4, 0)","(4, 0)",3
-60.0,"(3, 4)","(4, 0)","(4, 0)",3
-1.993350274915222,"(2, 1)","(4, 0)","(5, 0)",3
-1.0,"(0, 1)","(5, 0)","(5, 0)",3
-1.0,"(0, 4)","(18, 4)","(18, 4)",4
-1.464941866553949,"(2, 4)","(18, 4)","(18, 3)",4
-1.0,"(0, 3)","(18, 3)","(18, 3)",4
-4.859025154386165,"(1, 2)","(18, 3)","(17, 3)",4
-2.22003795623604,"(2, 2)","(17, 3)","(16, 3)",4
-1.619675051462055,"(3, 1)","(16, 3)","(17, 3)",4
-2.142052892029301,"(3, 3)","(17, 3)","(17, 4)",4
-1.4772302657274856,"(3, 1)","(17, 4)","(18, 4)",4
-2.142052892029301,"(3, 2)","(18, 4)","(17, 4)",4
-2.4893975436517817,"(2, 2)","(17, 4)","(16, 4)",4
-4.983167971401712,"(1, 3)","(16, 4)","(16, 5)",4
-4.95853495689215,"(1, 3)","(16, 5)","(16, 6)",4
-1.7572910261916384,"(3, 2)","(16, 6)","(15, 6)",4
-6.894301538519882,"(1, 2)","(15, 6)","(14, 6)",4
-2.6490846583368923,"(2, 2)","(14, 6)","(13, 6)",4
-1.0,"(0, 1)","(13, 6)","(13, 6)",4
-2.9876514336053255,"(2, 4)","(13, 6)","(13, 5)",4
-2.4648703518381563,"(2, 4)","(13, 5)","(13, 4)",4
-1.8004475291033817,"(2, 2)","(13, 4)","(12, 4)",4
-1.8772764447744832,"(3, 3)","(12, 4)","(12, 5)",4
-2.6046438140137322,"(2, 2)","(6, 1)","(5, 1)",5
-1.993350274915222,"(2, 4)","(5, 1)","(5, 0)",5
-1.0,"(0, 4)","(5, 0)","(5, 0)",5
-40.0,"(2, 4)","(5, 0)","(5, 0)",5
-60.0,"(3, 4)","(5, 0)","(5, 0)",5
-1.9676656638606969,"(2, 1)","(5, 0)","(6, 0)",5
-1.9142436707197987,"(3, 3)","(6, 0)","(6, 1)",5
-2.67256346769395,"(2, 3)","(6, 1)","(6, 2)",5
-2.871365506079698,"(2, 4)","(6, 2)","(6, 1)",5
-1.7817089784626334,"(3, 3)","(6, 1)","(6, 2)",5
-1.9142436707197987,"(3, 4)","(6, 2)","(6, 1)",5
-5.2092876280274645,"(1, 2)","(6, 1)","(5, 1)",5
-1.9697309354217365,"(3, 2)","(5, 1)","(4, 1)",5
-1.0,"(0, 2)","(4, 1)","(4, 1)",5
-5.2092876280274645,"(1, 1)","(4, 1)","(5, 1)",5
-6.6795945537635975,"(1, 3)","(5, 1)","(5, 2)",5
-2.3100305337736815,"(2, 3)","(5, 2)","(5, 3)",5
-1.5834569219411148,"(3, 2)","(5, 3)","(4, 3)",5
-1.6781526610508892,"(3, 3)","(4, 3)","(4, 4)",5
-1.9664565251662849,"(3, 2)","(4, 4)","(3, 4)",5
-1.500783541845404,"(3, 4)","(3, 4)","(3, 3)",5
-1.0,"(0, 1)","(3, 3)","(3, 3)",5
-4.4809796177628165,"(1, 4)","(3, 3)","(3, 2)",5
-1.7570138651017126,"(3, 4)","(3, 2)","(3, 1)",5
-1.5217502827570224,"(3, 4)","(3, 1)","(3, 0)",5
-2.635520797652569,"(2, 3)","(3, 0)","(3, 1)",5
-1.5553707091919187,"(3, 2)","(3, 1)","(2, 1)",5
-5.38972621599632,"(1, 2)","(2, 1)","(1, 1)",5
-2.333056063787878,"(2, 1)","(1, 1)","(2, 1)",5
-2.69486310799816,"(2, 2)","(2, 1)","(1, 1)",5
-2.333056063787878,"(2, 1)","(1, 1)","(2, 1)",5
-5.38972621599632,"(1, 2)","(2, 1)","(1, 1)",5
-1.5553707091919187,"(3, 1)","(1, 1)","(2, 1)",5
-2.328477587784244,"(3, 3)","(2, 1)","(2, 2)",5
-4.4809796177628165,"(1, 1)","(2, 2)","(3, 2)",5
-4.502350625536212,"(1, 3)","(3, 2)","(3, 3)",5
-1.0,"(0, 3)","(3, 3)","(3, 3)",5
-4.7503707658233445,"(1, 1)","(3, 3)","(4, 3)",5
-2.251175312768106,"(2, 2)","(4, 3)","(3, 3)",5
-1.0,"(0, 3)","(3, 3)","(3, 3)",5
-1.9664565251662849,"(3, 3)","(3, 3)","(3, 4)",5
-2.5172289915763337,"(2, 1)","(3, 4)","(4, 4)",5
-4.594169878161925,"(1, 1)","(4, 4)","(5, 4)",5
-1.60265451537062,"(3, 1)","(5, 4)","(6, 4)",5
-1.744896638236077,"(3, 4)","(6, 4)","(6, 3)",5
-1.0,"(0, 2)","(6, 3)","(6, 3)",5
-2.67256346769395,"(2, 4)","(6, 3)","(6, 2)",5
-1.0,"(0, 4)","(6, 2)","(6, 2)",5
-5.8995193320575385,"(1, 1)","(6, 2)","(7, 2)",5
-4.851801844400245,"(1, 3)","(7, 2)","(7, 3)",5
-2.628423201879445,"(2, 2)","(4, 16)","(3, 16)",6
-2.382529122954001,"(2, 1)","(3, 16)","(4, 16)",6
-1.0,"(0, 3)","(4, 16)","(4, 16)",6
-1.0,"(0, 1)","(4, 16)","(4, 16)",6
-5.085208092096351,"(1, 4)","(4, 16)","(4, 15)",6
-1.9334810186211877,"(3, 1)","(4, 15)","(5, 15)",6
-1.5578915615614815,"(3, 1)","(5, 15)","(6, 15)",6
-1.0,"(0, 2)","(6, 15)","(6, 15)",6
-1.7655961898580983,"(3, 4)","(6, 15)","(6, 14)",6
-6.250633839132891,"(1, 1)","(6, 14)","(7, 14)",6
-2.2042753345996067,"(2, 1)","(7, 14)","(8, 14)",6
-2.083544613044297,"(3, 2)","(8, 14)","(7, 14)",6
-1.0,"(0, 2)","(7, 14)","(7, 14)",6
-5.296788569574295,"(1, 2)","(7, 14)","(6, 14)",6
-3.1253169195664454,"(2, 1)","(6, 14)","(7, 14)",6
-1.469516889733071,"(3, 1)","(7, 14)","(8, 14)",6
-1.4593904156140713,"(3, 1)","(8, 14)","(9, 14)",6
-1.980569035968576,"(3, 1)","(9, 14)","(10, 14)",6
-2.4721762096606925,"(2, 4)","(10, 14)","(10, 13)",6
-0.9897246017492688,"(3, 2)","(10, 13)","(9, 13)",6
-2.4721762096606925,"(2, 1)","(9, 13)","(10, 13)",6
-5.47915378880318,"(1, 1)","(10, 13)","(11, 13)",6
-4.203865409967898,"(1, 3)","(11, 13)","(11, 14)",6
-1.980569035968576,"(3, 2)","(11, 14)","(10, 14)",6
-1.2339079704700806,"(3, 3)","(10, 14)","(10, 15)",6
-1.5464158685437086,"(3, 3)","(10, 15)","(10, 16)",6
-1.2339079704700806,"(3, 4)","(10, 16)","(10, 15)",6
